Beras Premium,Beras Medium,Kedelai Biji Kering (Impor),Bawang Merah,Bawang Putih Bonggol,Cabai Merah Keriting,Cabai Rawit Merah,Daging Sapi Murni,Daging Ayam Ras,Telur Ayam Ras,Gula Konsumsi,Minyak Goreng Kemasan Sederhana,Tepung Terigu (Curah),Minyak Goreng Kemasan Premium,Minyak Goreng Curah,Jagung Tk Peternak,Ikan Kembung,Ikan Tongkol,Ikan Bandeng,Garam Halus Beryodium,Tepung Terigu Kemasan (non-curah)
12310,10400,12960,45300,31790,74180,65430,140000,37950,30750,14650,20930,10220,,14600,,,,,,
12310,10400,12960,45300,31790,73200,64670,140000,37950,30760,14650,20930,10220,,14480,,,,,,
12310,10400,12960,45300,31790,74110,65700,140000,37950,30430,14650,20930,10220,,14480,,,,,,
12310,10400,12960,45300,30060,74970,67730,140000,38320,30430,14650,20930,10220,,14480,,,,,,
12310,10400,12960,45300,31790,74970,67730,140000,38320,30600,14650,20930,10220,,14480,,,,,,
12310,10400,12960,44300,31790,76040,63740,140000,37950,30600,14650,20930,10220,,14480,,,,,,
12000,10090,12960,44300,30250,75970,63320,140000,36920,31460,14650,20930,10220,,14480,,,,,,
12000,10130,12960,43800,30250,73080,59000,140000,36920,31460,14650,19790,10220,,14240,,,,,,
12000,9900,12960,42680,30250,70250,56850,140000,36920,31630,14650,20760,10220,,14490,,,,,,
12100,10320,12960,42680,30250,70410,59000,140000,36920,31460,14650,19630,10220,,14490,,,,,,
12100,10320,12960,42680,30250,70410,62400,140000,36920,31460,14650,19630,10220,,14490,,,,,,
12100,10400,12960,42680,32500,61800,54350,140000,35950,31800,14820,19630,10220,,14490,,,,,,
12100,10320,12960,41740,30630,67900,55220,140000,37720,31280,14650,19630,10220,,14490,,,,,,
12100,10320,12960,42680,30250,68750,56930,141950,35880,31460,14650,19400,10220,,14490,,,,,,
12100,10320,12960,42680,30250,68750,56930,141950,37360,31290,14650,19400,10220,,13940,,,,,,
12100,10320,12960,41740,30980,72300,62070,141950,36490,30760,14650,19240,10220,,14490,,,,,,
12070,10270,12960,39980,30440,73870,57760,141950,37360,30590,14820,19240,10220,,13940,,,,,,
12070,10270,12960,41020,30780,72340,59920,141950,37360,30420,14650,19460,10220,,16750,,,,,,
12080,10320,12630,42520,30250,72700,59450,140000,38530,29900,14580,19760,10730,,14660,,,,,,
12040,10270,12960,43800,30400,78030,61310,141950,37360,29890,14650,19460,10420,,14740,,,,,,
12040,10270,12960,45300,30840,83080,63940,141950,36490,29740,14650,19280,10610,,14740,,,,,,
12040,10270,12960,43180,31430,84100,64810,141950,36490,29560,14650,19280,10610,,14740,,,,,,
12050,10130,12960,38310,29250,81710,62950,141950,36490,28780,14390,19140,10350,,14740,,,,,,
12040,10270,12960,42680,31430,83250,65620,141950,37360,29740,14650,19280,10610,,14740,,,,,,
12040,10270,12960,42680,31430,82360,65690,141950,37360,29570,14650,19280,10610,,14740,,,,,,
12040,10320,12960,43180,31430,81420,63940,137640,38250,29400,14650,19280,10610,,14740,,,,,,
12040,10230,12960,42980,31190,78140,62320,141950,37360,29400,14650,19280,10610,,14740,,,,,,
12040,10230,12960,42230,31190,81480,63150,141950,38250,29400,14650,19280,10610,,14740,,,,,,
12040,10230,12960,42230,31190,80550,66500,141950,38250,29400,14650,19280,10610,,14740,,,,,,
12040,10230,12960,42230,31190,81480,67330,141950,38250,29400,14650,19280,10610,,14740,,,,,,
12040,10230,12960,42230,31190,81480,67330,141950,38250,29050,14650,19060,10610,,14490,,,,,,
12040,10230,12960,42230,31190,78250,68950,141950,37360,28890,14650,19060,10610,,14490,,,,,,
12050,10280,12960,41690,30480,80660,69930,142440,37970,28650,14580,18360,10350,,14000,,,,,,
12040,10230,12960,43330,31580,77870,71510,141950,37570,28360,14650,19060,10610,,14240,,,,,,
12120,10320,12960,44300,31030,76470,75700,141950,36850,28190,14650,19060,10610,,14240,,,,,,
12120,10320,12960,44300,30840,76470,76520,141950,36850,28010,14650,19060,10610,,14240,,,,,,
12120,10320,12960,44300,30380,76470,76470,141950,36850,28010,14650,19060,10610,,14240,,,,,,
12120,10320,12960,44300,30380,72110,73080,141950,36850,27670,14650,18920,10610,,14240,,,,,,
12120,10320,12960,43030,30380,71280,72240,141950,37720,27310,14650,18920,10610,,14240,,,,,,
12100,10380,12630,44020,30880,72540,72540,142440,36730,27380,14780,19110,10530,,14330,,,,,,
12120,10320,12960,43530,30380,71220,72110,141950,37720,26970,14650,18740,10610,,14240,,,,,,
12120,10320,12960,43920,30570,70410,73080,141950,37720,27140,14650,18740,10610,,14240,,,,,,
12100,10380,12630,44020,30880,72540,75410,142440,36730,26950,14780,19110,10530,,14330,,,,,,
12040,10230,12960,42960,30920,67630,75280,141950,36850,26250,14650,18740,10610,,14240,,,,,,
12040,10230,12960,41760,30380,69540,76980,141950,36490,25720,14650,18740,10610,,14240,,,,,,
12040,10230,12960,42210,30570,67780,76160,141950,36490,25720,14650,18740,10610,,14240,,,,,,
12050,10280,12960,41670,30520,66420,74500,142440,36870,25440,14580,17990,10350,,14000,,,,,,
12040,10230,12960,42590,30760,66880,74420,141950,36490,25190,14650,18740,10610,,14240,,,,,,
12040,10230,12960,42960,30760,65050,71890,141950,36690,25190,14650,18740,10610,,14240,,,,,,
12050,10280,12960,41870,30520,63220,69520,142440,36870,25230,14580,17990,10350,,14000,,,,,,
12040,10230,12960,43330,30760,62380,70150,141950,36120,25360,14650,19130,10610,,14240,,,,,,
12040,10230,12960,43330,30760,61770,66860,141950,36120,25870,14650,18740,10610,,14240,,,,,,
12040,10230,12960,43330,30760,62670,65030,141950,36120,25870,14650,18740,10610,,14240,,,,,,
12040,10230,12960,43330,30760,63350,66430,141950,36120,26210,14650,18740,10610,,14240,,,,,,
12040,10230,12960,42370,30180,64370,65690,141950,35160,26390,14650,18740,10730,,14240,,,,,,
12040,10230,12960,41550,30200,64370,63290,141950,35160,26070,14650,18740,10610,,14240,,,,,,
12040,10230,12960,40500,30200,64440,63380,141950,35160,26240,14650,18740,10610,,14240,,,,,,
12040,10230,12960,40500,30200,64440,64300,141950,35160,26410,14650,18740,10610,,14240,,,,,,
12070,10230,12960,40500,30780,62600,64300,141950,35160,27310,14650,18740,10610,,14240,,,,,,
12080,10280,12960,40600,30250,61940,67260,142440,35660,27380,14580,17990,10350,,14000,,,,,,
12080,10280,12960,40600,30250,62130,66340,142440,35210,27380,14580,17990,10350,,14000,,,,,,
12070,10230,12960,40500,30200,59920,59770,141950,35160,27490,14650,18740,10610,,14240,,,,,,
12070,10230,12960,40500,30200,57290,62510,141950,35160,27310,14650,18740,10610,,14240,,,,,,
12070,10230,12960,41200,30200,56390,59920,141950,35160,27660,14650,18550,10610,,14240,,,,,,
12070,10230,12960,41200,30200,56390,60790,141950,35160,27830,14650,18550,10610,,14240,,,,,,
12080,10090,12960,36540,28530,49900,55670,141950,35160,26780,14390,18280,10350,,14240,,,,,,
