date,beras_premium,year,month
2024-02-11,15650.0,2024,2
2024-02-12,15690.0,2024,2
2024-02-13,15690.0,2024,2
2024-02-14,15840.0,2024,2
2024-02-15,15840.0,2024,2
2024-02-16,15840.0,2024,2
2024-02-17,15980.0,2024,2
2024-02-18,16500.0,2024,2
2024-02-19,16500.0,2024,2
2024-02-20,16570.0,2024,2
2024-02-21,16700.0,2024,2
2024-02-22,16770.0,2024,2
2024-02-23,16770.0,2024,2
2024-02-24,16770.0,2024,2
2024-02-25,16770.0,2024,2
2024-02-26,16840.0,2024,2
2024-02-27,16840.0,2024,2
2024-02-28,16840.0,2024,2
2024-02-29,16700.0,2024,2
2024-03-01,17220.0,2024,3
2024-03-02,17040.0,2024,3
2024-03-03,16910.0,2024,3
2024-03-04,16910.0,2024,3
2024-03-05,16910.0,2024,3
2024-03-06,16910.0,2024,3
2024-03-07,16910.0,2024,3
2024-03-08,16500.0,2024,3
2024-03-09,16500.0,2024,3
2024-03-10,16570.0,2024,3
2024-03-11,16570.0,2024,3
2024-03-12,16280.0,2024,3
2024-03-13,17430.0,2024,3
2024-03-14,17790.0,2024,3
2024-03-15,17580.0,2024,3
2024-03-16,17580.0,2024,3
2024-03-17,17420.0,2024,3
2024-03-18,17420.0,2024,3
2024-03-19,17580.0,2024,3
2024-03-20,17580.0,2024,3
2024-03-21,17580.0,2024,3
2024-03-22,17200.0,2024,3
2024-03-23,17330.0,2024,3
2024-03-24,17420.0,2024,3
2024-03-25,17030.0,2024,3
2024-03-26,17420.0,2024,3
